#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      3     1.096808e-01     8.976223e-02     1.682341e+00     5.115826e-01     5.116585e-01     9.089606e-01     1.674386e+02     1.478036e+02     3.981072e+00
      4     9.484291e-02     8.108223e-02     1.313920e+00     7.299658e-01     7.302809e-01     9.077806e-01     1.362726e+02     1.479904e+02     3.981072e+00
      5     2.252262e-02     2.022642e-02     2.648471e-01     4.911809e+00     4.915240e+00     9.164038e-01     7.116515e+01     1.481322e+02     3.981072e+00
      6     2.176426e-02     2.004679e-02     2.267520e-01     1.871960e+01     1.873278e+01     9.173540e-01     6.921944e+01     1.481485e+02     3.981072e+00
      7     2.134278e-02     1.912677e-02     2.531334e-01     1.928049e+01     1.929406e+01     9.173938e-01     7.115038e+01     1.481492e+02     3.981072e+00
      8     2.108522e-02     1.905113e-02     2.415827e-01     1.660336e+01     1.661505e+01     9.174838e-01     7.078705e+01     1.481506e+02     3.981072e+00
      9     1.281919e-02     1.250228e-02     7.653239e-02     1.078888e+00     1.079511e+00     9.181927e-01     7.302408e+01     1.481632e+02     3.981072e+00
     10     1.014361e-02     8.847999e-03     1.325090e-01     2.110818e-01     2.105329e-01     9.182719e-01     7.491461e+01     1.481640e+02     3.981072e+00
     11     7.059310e-03     6.300167e-03     8.511499e-02     2.870425e-01     2.867321e-01     9.182718e-01     7.488360e+01     1.481640e+02     3.981072e+00
     12     4.863286e-03     3.764266e-03     8.215982e-02     1.028314e+00     1.028896e+00     9.182756e-01     7.491511e+01     1.481641e+02     3.981072e+00
     13     4.814194e-03     3.777768e-03     7.962714e-02     4.230133e+00     4.233078e+00     9.182958e-01     7.489212e+01     1.481644e+02     3.981072e+00
     14     2.661958e-03     2.223008e-03     3.909291e-02     3.896751e+00     3.899459e+00     9.182971e-01     7.522126e+01     1.481644e+02     3.981072e+00
     15     2.537736e-03     2.217542e-03     3.296369e-02     8.636509e-01     8.640892e-01     9.183496e-01     7.520311e+01     1.481651e+02     3.981072e+00
